round,avg_travel_time_mean,avg_travel_time_std,throughput_mean,throughput_std,avg_waiting_time_mean,avg_waiting_time_std,avg_queue_length_mean,avg_queue_length_std,unfinished_mean,unfinished_std
0,628.8031098613159,74.06672842247913,2412.2,171.40215867952188,489.58144905942754,155.92881080300467,,,313.8,72.29246157103796
1,600.8392831893237,66.58649965399087,2431.6,149.31108465214493,523.4003935386247,98.35843137797734,16.27013888888889,3.095423384576648,283.2,53.653518057998774
2,607.6811962676172,65.81001358121306,2405.0,222.70945197723415,605.2895278060768,187.0391436596928,16.763819444444444,2.710920385103588,290.2,86.33770902682095
3,471.9393888394628,76.84900941084766,2689.4,218.27688837804152,310.51601306707016,265.9370952125812,10.646145833333334,3.872350171901953,172.0,102.9805806936434
4,484.6940838840186,138.26701131472083,2717.0,238.66608472927192,309.4862020384513,279.26982883991747,11.2159375,6.809428914530768,174.8,115.63606703792723
5,576.1732359758367,217.2165295732819,2595.8,298.8849276895709,462.2282565605773,340.4381607130929,16.38201388888889,11.470146799506868,321.2,242.41225216560323
6,504.8780261844636,65.09602835960241,2723.2,126.30399835317965,369.2438664362736,260.4617512248537,12.56232638888889,3.5688789792554703,221.0,100.75465249803605
7,498.70687257686814,95.55514672615232,2692.0,217.73378240410926,451.4100455192669,455.08044233310113,12.165625,5.041792310463315,202.8,99.44194286114889
8,518.7696278913845,182.710108357906,2808.6,90.03499319708978,229.2145526587542,145.89923403577288,13.141527777777778,9.539866085744146,174.4,90.03499319708976
9,517.7122603821764,190.4637977678872,2696.4,356.2440174936275,312.6794174234914,405.9997423347387,12.499409722222222,8.773957883829704,192.2,148.27069838643104
