,enter_time,leave_time
flow_1_0,131.0,246.0
flow_4_0,133.0,250.0
flow_207_0,173.0,243.0
flow_208_0,176.0,246.0
flow_209_0,178.0,248.0
flow_1652_0,182.0,251.0
flow_9_0,191.0,516.0
flow_214_0,233.0,516.0
flow_1655_0,245.0,315.0
flow_217_0,256.0,521.0
flow_219_0,311.0,476.0
flow_1658_0,314.0,480.0
flow_225_0,363.0,496.0
flow_227_0,366.0,501.0
flow_229_0,369.0,503.0
flow_230_0,391.0,506.0
flow_232_0,411.0,508.0
flow_233_0,413.0,511.0
flow_235_0,461.0,546.0
flow_1663_0,463.0,551.0
flow_1665_0,481.0,553.0
flow_238_0,484.0,554.0
flow_631_0,505.0,616.0
flow_243_0,511.0,581.0
flow_244_0,513.0,584.0
flow_247_0,518.0,588.0
flow_11_0,531.0,626.0
flow_13_0,535.0,604.0
flow_249_0,541.0,626.0
flow_253_0,550.0,631.0
flow_254_0,553.0,676.0
flow_1671_0,557.0,680.0
flow_2074_0,563.0,696.0
flow_1839_0,581.0,651.0
flow_257_0,583.0,654.0
flow_258_0,586.0,656.0
flow_259_0,588.0,701.0
flow_2054_0,601.0,653.0
flow_261_0,631.0,704.0
flow_263_0,634.0,704.0
flow_2051_0,634.0,705.0
flow_265_0,636.0,706.0
flow_2062_0,638.0,707.0
flow_268_0,646.0,715.0
flow_269_0,649.0,718.0
flow_271_0,653.0,723.0
flow_2763_0,685.0,756.0
flow_2764_0,687.0,757.0
flow_272_0,691.0,760.0
flow_273_0,693.0,776.0
flow_1442_0,695.0,765.0
flow_275_0,696.0,780.0
flow_1231_0,698.0,1182.0
flow_1679_0,698.0,783.0
flow_2094_0,701.0,753.0
flow_277_0,701.0,785.0
flow_2097_0,704.0,826.0
flow_2098_0,706.0,758.0
flow_280_0,707.0,788.0
flow_281_0,713.0,790.0
flow_222_0,736.0,806.0
flow_285_0,761.0,976.0
flow_286_0,764.0,834.0
flow_288_0,766.0,980.0
flow_2096_0,787.0,857.0
flow_1462_0,795.0,866.0
