round,vehicles_total,throughput,avg_travel_time,avg_waiting_time,avg_queue_length,unfinished
0,2983,2798,515.2631578947369,244.68523002421307,,185
1,2629,2279,648.9657664511221,658.5806451612904,18.480555555555554,350
2,2629,2252,718.2982122480031,714.7491803278689,21.74513888888889,377
3,2632,2286,638.3320668693009,746.5616438356165,18.028645833333336,346
4,2602,2256,623.0807071483474,847.0274261603375,17.26857638888889,346
5,2637,2408,518.313234736443,796.1903485254692,12.560069444444444,229
6,2707,2485,488.0816401920946,502.7403314917127,11.287152777777777,222
7,2770,2468,567.0646209386282,578.0330396475771,15.213541666666668,302
8,2983,2808,471.0087160576601,160.4051724137931,10.1375,175
9,2973,2817,457.4137235116044,229.66360856269114,9.599652777777777,156
10,2807,2643,475.0644816530103,525.4017857142857,10.852777777777778,164
11,2983,2895,411.68219912839425,67.70564516129032,7.267708333333334,88
12,2950,2767,448.3579661016949,272.01176470588234,9.211979166666667,183
13,2983,2911,357.61012403620515,62.724890829694324,4.877083333333333,72
14,2983,2888,375.03821656050957,81.63675213675214,5.693923611111112,95
15,2983,2881,375.8172980221254,99.7246963562753,5.753993055555556,102
16,2983,2875,392.6657727120349,100.50381679389314,6.522395833333334,108
17,2983,2914,393.0489440160912,111.22692307692307,6.584027777777777,69
18,2983,2879,366.6768354006034,97.67622950819673,5.350694444444445,104
19,2983,2786,471.7160576600738,419.62034739454094,11.136979166666666,197
20,2983,2890,381.89373114314446,77.53061224489795,6.150868055555556,93
21,2983,2918,384.4937981897419,60.38260869565217,6.142534722222223,65
22,2983,2869,376.954743546765,200.88768115942028,6.295486111111111,114
23,2983,2902,363.75997318136103,73.01327433628319,5.238541666666666,81
24,2983,2907,354.37713711029164,72.1219512195122,4.778819444444444,76
25,2983,2844,403.85484411666107,153.1979865771812,7.217534722222222,139
26,2816,2655,426.92116477272725,567.9739413680782,8.731423611111111,161
27,2899,2760,394.6184891341842,216.05743243243242,7.112673611111111,139
28,2983,2919,328.710358699296,60.02272727272727,3.6767361111111105,64
29,2983,2922,323.7167281260476,51.58715596330275,3.4109374999999997,61
