round,vehicles_total,throughput,avg_travel_time,avg_waiting_time,avg_queue_length,unfinished
0,2646,2279,693.7176870748299,623.0753768844221,,367
1,2802,2538,547.6930763740186,457.8558758314856,14.14670138888889,264
2,2962,2798,468.1124240378123,182.71849865951742,10.207812500000001,164
3,2829,2646,581.9579356663132,389.5081967213115,15.467881944444443,183
4,2889,2635,522.0470751124957,250.49060542797494,13.2171875,254
5,2983,2841,449.87495809587665,194.12609970674487,9.491840277777778,142
6,2983,2853,432.32886356017434,135.06514657980455,8.334722222222222,130
7,2754,2456,541.8812636165577,694.5044843049327,14.012326388888887,298
8,2983,2748,484.11330874958094,230.25059101654847,11.18784722222222,235
9,2982,2750,464.7726358148893,238.0698795180723,10.344618055555555,232
10,2983,2779,453.5662085149179,227.65921787709496,9.574826388888889,204
11,2983,2918,351.91015755950383,62.22477064220183,4.620486111111111,65
12,2983,2876,400.3053972510895,95.87241379310345,7.0859375,107
13,2983,2921,342.39892725444184,60.47560975609756,4.384375,62
14,2959,2826,413.027374112876,150.21543408360128,7.8265625,133
15,2983,2926,346.88266845457593,62.97119341563786,4.4762152777777775,57
16,2892,2646,518.768326417704,710.388679245283,13.79375,246
17,2983,2834,455.2199128394234,235.63594470046084,10.387152777777779,149
18,2983,2924,326.5031847133758,52.74545454545454,3.6065972222222222,59
19,2983,2920,338.1716392893061,56.691964285714285,4.048611111111111,63
20,2983,2928,358.4579282601408,61.51401869158879,5.087152777777778,55
21,2983,2928,335.09755279919546,51.555045871559635,4.016666666666667,55
22,2983,2924,352.5363727790815,50.39170506912443,4.742361111111111,59
23,2983,2924,310.384512236004,49.60096153846154,2.898090277777778,59
24,2983,2925,318.9121689574254,50.54589371980676,3.2420138888888888,58
25,2983,2876,351.8927254441837,121.83333333333333,4.9378472222222225,107
26,2983,2926,323.65035199463625,50.23222748815166,3.5342013888888886,57
27,2983,2882,348.040563191418,148.39837398373984,4.817013888888889,101
28,2983,2901,343.38920549782097,90.97942386831275,4.571527777777778,82
29,2983,2928,317.2842775729132,48.58762886597938,3.1998263888888885,55
