,enter_time,leave_time
flow_2756_0,116.0,196.0
flow_2757_0,129.0,199.0
flow_2758_0,142.0,212.0
flow_2759_0,155.0,653.0
flow_2760_0,168.0,238.0
flow_2761_0,181.0,251.0
flow_2024_0,220.0,272.0
flow_2029_0,223.0,293.0
flow_2765_0,233.0,316.0
flow_2028_0,243.0,416.0
flow_2766_0,246.0,316.0
flow_2768_0,272.0,341.0
flow_2038_0,276.0,328.0
flow_2772_0,324.0,396.0
flow_2773_0,340.0,410.0
flow_2775_0,363.0,446.0
flow_2054_0,375.0,426.0
flow_2776_0,376.0,451.0
flow_2777_0,379.0,506.0
flow_1442_0,382.0,435.0
flow_2027_0,401.0,506.0
flow_2046_0,404.0,546.0
flow_2057_0,406.0,606.0
flow_2779_0,411.0,481.0
flow_2058_0,422.0,474.0
flow_2061_0,425.0,477.0
flow_1440_0,428.0,551.0
flow_2780_0,430.0,510.0
flow_619_0,431.0,482.0
flow_1444_0,444.0,495.0
flow_2079_0,451.0,596.0
flow_1447_0,485.0,538.0
flow_607_0,485.0,596.0
flow_649_0,491.0,557.0
flow_1448_0,532.0,585.0
flow_2094_0,536.0,616.0
flow_2097_0,542.0,620.0
flow_2098_0,545.0,622.0
flow_1452_0,565.0,617.0
flow_1847_0,572.0,624.0
flow_1441_0,584.0,646.0
flow_214_0,591.0,646.0
flow_2764_0,593.0,650.0
flow_2785_0,601.0,670.0
flow_2787_0,604.0,674.0
flow_2121_0,630.0,682.0
flow_2093_0,659.0,767.0
flow_2789_0,662.0,731.0
flow_2792_0,664.0,746.0
flow_239_0,671.0,746.0
flow_2130_0,685.0,737.0
flow_2796_0,693.0,770.0
flow_1459_0,702.0,755.0
flow_670_0,705.0,776.0
flow_1461_0,708.0,759.0
flow_683_0,708.0,779.0
flow_1463_0,710.0,796.0
flow_1464_0,714.0,801.0
flow_2102_0,719.0,789.0
flow_2136_0,726.0,778.0
flow_1466_0,731.0,836.0
flow_2797_0,751.0,1310.0
flow_2798_0,754.0,1036.0
flow_2100_0,771.0,840.0
flow_36_0,773.0,824.0
flow_2145_0,776.0,827.0
flow_2799_0,781.0,851.0
flow_2801_0,784.0,876.0
flow_690_0,791.0,847.0
flow_2051_0,791.0,846.0
flow_266_0,801.0,871.0
flow_2802_0,821.0,896.0
flow_2803_0,823.0,900.0
flow_1468_0,823.0,886.0
flow_1470_0,826.0,877.0
flow_38_0,833.0,884.0
flow_1234_0,835.0,916.0
flow_1450_0,836.0,887.0
flow_270_0,841.0,920.0
flow_2805_0,851.0,920.0
flow_2166_0,851.0,1036.0
flow_2168_0,854.0,956.0
flow_1857_0,861.0,960.0
flow_222_0,861.0,1211.0
flow_2110_0,866.0,926.0
flow_718_0,871.0,927.0
flow_2169_0,874.0,931.0
flow_2175_0,878.0,946.0
flow_46_0,881.0,957.0
flow_1683_0,890.0,996.0
flow_2184_0,902.0,966.0
flow_2096_0,911.0,966.0
flow_43_0,914.0,971.0
flow_2192_0,919.0,970.0
flow_729_0,922.0,974.0
flow_2186_0,923.0,1001.0
flow_2063_0,926.0,1066.0
flow_2150_0,926.0,996.0
flow_1239_0,951.0,1027.0
flow_2811_0,961.0,1031.0
flow_2812_0,964.0,1066.0
flow_285_0,971.0,1046.0
flow_2199_0,973.0,1046.0
flow_288_0,974.0,1030.0
flow_1457_0,981.0,1051.0
flow_745_0,991.0,1056.0
flow_56_0,991.0,1071.0
flow_755_0,996.0,1061.0
flow_2815_0,1001.0,1073.0
flow_2176_0,1011.0,1080.0
flow_2212_0,1020.0,1126.0
flow_2817_0,1022.0,1091.0
flow_768_0,1026.0,1097.0
flow_2818_0,1040.0,1110.0
flow_2214_0,1042.0,1095.0
flow_2235_0,1051.0,1376.0
flow_2239_0,1053.0,1136.0
flow_60_0,1063.0,1114.0
flow_2191_0,1066.0,1136.0
flow_304_0,1067.0,1156.0
flow_2819_0,1071.0,1140.0
flow_1488_0,1072.0,1125.0
flow_2820_0,1073.0,1156.0
flow_2821_0,1091.0,1161.0
flow_766_0,1092.0,1144.0
flow_778_0,1094.0,1147.0
flow_777_0,1095.0,1176.0
flow_2822_0,1098.0,1168.0
flow_2222_0,1102.0,1716.0
flow_1231_0,1104.0,1174.0
flow_1473_0,1109.0,1178.0
flow_1692_0,1111.0,1186.0
flow_1490_0,1113.0,1166.0
flow_1694_0,1114.0,1216.0
flow_2226_0,1122.0,1175.0
flow_1258_0,1125.0,1221.0
flow_2236_0,1133.0,1206.0
flow_2243_0,1140.0,1226.0
flow_2824_0,1141.0,1216.0
flow_2825_0,1143.0,1220.0
flow_1886_0,1162.0,1230.0
flow_2254_0,1163.0,1276.0
flow_1485_0,1166.0,1236.0
flow_2129_0,1171.0,1226.0
flow_2810_0,1176.0,1227.0
flow_1496_0,1181.0,1276.0
flow_794_0,1181.0,1233.0
flow_1877_0,1181.0,1281.0
flow_1698_0,1184.0,1254.0
flow_2261_0,1192.0,1245.0
flow_1693_0,1198.0,1250.0
flow_2827_0,1201.0,1271.0
flow_2828_0,1203.0,1274.0
flow_1494_0,1216.0,1267.0
flow_1271_0,1221.0,1306.0
flow_2829_0,1221.0,1290.0
flow_2830_0,1223.0,1293.0
flow_2218_0,1229.0,1298.0
flow_1500_0,1235.0,1326.0
flow_2831_0,1241.0,1316.0
flow_2832_0,1261.0,1336.0
flow_2833_0,1263.0,1333.0
flow_800_0,1282.0,1333.0
flow_2242_0,1283.0,1576.0
flow_1505_0,1293.0,1346.0
flow_824_0,1308.0,1378.0
flow_330_0,1315.0,1576.0
flow_1460_0,1319.0,1389.0
flow_1281_0,1321.0,1456.0
flow_2834_0,1321.0,1392.0
flow_339_0,1323.0,1461.0
flow_2835_0,1324.0,1456.0
flow_2292_0,1325.0,1377.0
flow_2293_0,1328.0,1380.0
flow_1509_0,1334.0,1385.0
flow_350_0,1341.0,1411.0
flow_1476_0,1343.0,1414.0
flow_828_0,1351.0,1403.0
flow_302_0,1361.0,1461.0
flow_1720_0,1371.0,1441.0
flow_2836_0,1381.0,1581.0
flow_1282_0,1381.0,1941.0
flow_2837_0,1384.0,1526.0
flow_2305_0,1402.0,1466.0
flow_2308_0,1444.0,1497.0
flow_2309_0,1448.0,1499.0
flow_846_0,1454.0,1517.0
flow_2806_0,1457.0,1527.0
flow_2838_0,1461.0,1531.0
flow_1904_0,1461.0,1531.0
flow_1724_0,1463.0,1534.0
flow_2839_0,1463.0,1566.0
flow_2295_0,1466.0,1570.0
flow_2317_0,1474.0,1536.0
flow_1293_0,1475.0,1566.0
flow_1896_0,1478.0,1570.0
flow_2840_0,1491.0,1636.0
flow_2841_0,1494.0,1564.0
flow_853_0,1504.0,1557.0
flow_2319_0,1507.0,1559.0
flow_855_0,1521.0,1656.0
flow_2844_0,1531.0,1626.0
flow_2846_0,1534.0,1640.0
flow_1289_0,1551.0,1602.0
flow_2339_0,1551.0,1626.0
flow_2847_0,1551.0,2234.0
flow_1290_0,1555.0,1607.0
flow_351_0,1555.0,1636.0
flow_2348_0,1572.0,1624.0
flow_1735_0,1584.0,1777.0
flow_2318_0,1608.0,1678.0
flow_324_0,1615.0,1896.0
flow_383_0,1618.0,1669.0
flow_2851_0,1621.0,1776.0
flow_1523_0,1623.0,1674.0
flow_2852_0,1624.0,1716.0
flow_2853_0,1629.0,1781.0
flow_2357_0,1662.0,1726.0
flow_2358_0,1665.0,1730.0
flow_859_0,1700.0,1751.0
flow_2855_0,1701.0,1886.0
flow_2856_0,1704.0,1774.0
flow_2857_0,1706.0,1890.0
flow_2858_0,1709.0,2207.0
flow_2859_0,1712.0,1782.0
flow_405_0,1732.0,1886.0
flow_2861_0,1741.0,1916.0
flow_2361_0,1742.0,1795.0
flow_1526_0,1771.0,1841.0
flow_886_0,1781.0,1833.0
