round,vehicles_total,throughput,avg_travel_time,avg_waiting_time,avg_queue_length,unfinished
0,2733,2387,593.0439077936334,461.893536121673,,346
1,2653,2333,648.7953260459857,573.7905660377359,18.536284722222224,320
2,2821,2605,599.1988656504785,342.0491452991453,16.57986111111111,216
3,2983,2912,431.3134428427757,134.92384105960264,8.526736111111111,71
4,2774,2507,580.3932948810382,548.7560975609756,16.072222222222223,267
5,2869,2159,928.4893691181596,822.027566539924,34.92274305555556,710
6,2983,2760,519.6382836071069,257.4728370221328,13.56076388888889,223
7,2983,2850,432.40965471002346,126.62798634812286,8.722569444444446,133
8,2983,2829,421.3419376466644,185.61006289308176,7.959895833333333,154
9,2983,2861,372.11532014750253,132.41694915254237,5.868402777777778,122
