,enter_time,leave_time
flow_1436_0,101.0,206.0
flow_1437_0,241.0,346.0
flow_1438_0,243.0,351.0
flow_1224_0,381.0,1056.0
flow_17_0,381.0,1057.0
flow_1654_0,383.0,1060.0
flow_19_0,421.0,1060.0
flow_13_0,432.0,484.0
flow_637_0,455.0,1227.0
flow_212_0,471.0,1226.0
flow_213_0,473.0,1230.0
flow_2764_0,533.0,584.0
flow_2028_0,601.0,653.0
flow_33_0,631.0,1231.0
flow_1439_0,681.0,1266.0
flow_1440_0,683.0,1270.0
flow_36_0,690.0,761.0
flow_1441_0,751.0,2422.0
flow_1442_0,754.0,1228.0
flow_38_0,791.0,861.0
flow_39_0,794.0,916.0
flow_1444_0,811.0,881.0
flow_1445_0,814.0,1370.0
flow_214_0,821.0,872.0
flow_43_0,832.0,901.0
flow_48_0,834.0,921.0
flow_222_0,851.0,1904.0
flow_1229_0,853.0,1270.0
flow_217_0,855.0,907.0
flow_2112_0,871.0,1366.0
flow_53_0,901.0,1186.0
flow_619_0,911.0,963.0
flow_649_0,914.0,965.0
flow_1447_0,921.0,991.0
flow_1448_0,923.0,994.0
flow_60_0,971.0,1041.0
flow_2790_0,978.0,1446.0
flow_1449_0,1021.0,1450.0
flow_1450_0,1023.0,2596.0
flow_2806_0,1038.0,1191.0
flow_690_0,1051.0,1102.0
flow_2054_0,1053.0,1105.0
flow_67_0,1066.0,1118.0
flow_2810_0,1067.0,1137.0
flow_2161_0,1081.0,1152.0
flow_768_0,1091.0,1146.0
flow_2813_0,1095.0,2600.0
flow_2058_0,1101.0,1153.0
flow_1689_0,1115.0,1370.0
flow_2129_0,1131.0,1207.0
flow_2094_0,1167.0,1218.0
flow_1492_0,1168.0,1220.0
flow_266_0,1176.0,1276.0
flow_2097_0,1190.0,1280.0
flow_2098_0,1193.0,1532.0
flow_2167_0,1251.0,1446.0
flow_1691_0,1253.0,1450.0
flow_2093_0,1321.0,1396.0
flow_77_0,1351.0,2796.0
flow_2051_0,1356.0,1416.0
flow_718_0,1381.0,1436.0
flow_2145_0,1384.0,1436.0
flow_729_0,1411.0,1466.0
flow_2169_0,1414.0,1466.0
flow_1886_0,1451.0,1516.0
flow_745_0,1453.0,1521.0
flow_2175_0,1471.0,1523.0
flow_1870_0,1471.0,2596.0
flow_293_0,1473.0,2601.0
flow_2215_0,1492.0,1561.0
flow_755_0,1501.0,1553.0
flow_2184_0,1504.0,1566.0
flow_2110_0,1528.0,1598.0
flow_2096_0,1573.0,1646.0
flow_859_0,1577.0,1648.0
flow_1452_0,1611.0,1681.0
flow_1453_0,1614.0,2800.0
flow_1457_0,1631.0,2826.0
flow_1458_0,1633.0,2830.0
flow_1695_0,1641.0,1711.0
flow_2247_0,1643.0,1714.0
flow_1718_0,1661.0,2796.0
flow_1459_0,1661.0,1731.0
flow_1722_0,1663.0,2799.0
flow_1460_0,1664.0,2946.0
flow_854_0,1669.0,1806.0
flow_1705_0,1691.0,2826.0
flow_1231_0,1693.0,2830.0
flow_1461_0,1711.0,1781.0
flow_1463_0,1713.0,1784.0
flow_1464_0,1731.0,1801.0
flow_1468_0,1733.0,1804.0
flow_2102_0,1751.0,1816.0
flow_2796_0,1754.0,1806.0
flow_1470_0,1781.0,1851.0
flow_2798_0,1781.0,1833.0
flow_778_0,1811.0,1866.0
flow_2192_0,1814.0,2046.0
flow_2836_0,1825.0,1877.0
flow_1471_0,1831.0,2006.0
flow_1472_0,1834.0,2950.0
flow_1721_0,1841.0,2047.0
flow_2212_0,1841.0,2050.0
flow_2222_0,1844.0,1896.0
flow_828_0,1847.0,2196.0
flow_2236_0,1849.0,2201.0
flow_846_0,1855.0,2416.0
flow_2243_0,1859.0,1910.0
flow_853_0,1861.0,2420.0
flow_1233_0,1891.0,2946.0
flow_1710_0,1893.0,2950.0
flow_1473_0,1931.0,2986.0
flow_1474_0,1934.0,2010.0
flow_2292_0,1951.0,2436.0
flow_2293_0,1953.0,2440.0
flow_939_0,1960.0,2456.0
flow_874_0,1975.0,2990.0
flow_1475_0,2011.0,3036.0
flow_1476_0,2013.0,3040.0
flow_2235_0,2056.0,2126.0
flow_1478_0,2061.0,3266.0
flow_1480_0,2063.0,3270.0
flow_2840_0,2064.0,2460.0
flow_2305_0,2071.0,2123.0
flow_2309_0,2074.0,2476.0
flow_1713_0,2141.0,2986.0
flow_1485_0,2141.0,3536.0
flow_2317_0,2141.0,2193.0
flow_1486_0,2143.0,3540.0
flow_1239_0,2144.0,2346.0
flow_1487_0,2146.0,nan
flow_1488_0,2148.0,2219.0
flow_2846_0,2151.0,2480.0
flow_1490_0,2151.0,2221.0
flow_1493_0,2153.0,2346.0
flow_2319_0,2161.0,2526.0
flow_1242_0,2161.0,2991.0
flow_1716_0,2163.0,3036.0
flow_2357_0,2163.0,2530.0
flow_2358_0,2181.0,2546.0
flow_1494_0,2181.0,2251.0
flow_2874_0,2205.0,2274.0
flow_2879_0,2208.0,nan
flow_352_0,2241.0,3266.0
flow_1726_0,2243.0,3270.0
flow_989_0,2258.0,2328.0
flow_1732_0,2261.0,3536.0
flow_376_0,2264.0,2334.0
flow_2284_0,2281.0,3540.0
flow_1938_0,2283.0,nan
flow_994_0,2302.0,2353.0
flow_905_0,2311.0,2550.0
flow_2376_0,2313.0,2626.0
flow_329_0,2315.0,nan
flow_389_0,2321.0,nan
flow_61_0,2324.0,2394.0
flow_336_0,2334.0,2404.0
flow_341_0,2338.0,nan
flow_1006_0,2345.0,2466.0
flow_2852_0,2351.0,2403.0
flow_1497_0,2361.0,nan
flow_1698_0,2362.0,2631.0
flow_1500_0,2364.0,2434.0
flow_1737_0,2371.0,2441.0
flow_1740_0,2374.0,nan
flow_403_0,2378.0,nan
flow_1503_0,2381.0,nan
flow_1505_0,2384.0,2454.0
flow_2858_0,2401.0,2696.0
flow_2872_0,2419.0,2699.0
flow_1352_0,2475.0,nan
flow_1571_0,2476.0,2536.0
flow_1506_0,2491.0,nan
flow_1507_0,2493.0,nan
flow_1509_0,2511.0,2581.0
flow_1510_0,2514.0,nan
flow_2325_0,2529.0,nan
flow_2338_0,2532.0,2606.0
flow_1511_0,2571.0,nan
flow_1516_0,2573.0,nan
flow_1739_0,2591.0,2643.0
flow_285_0,2591.0,2696.0
flow_924_0,2593.0,2646.0
flow_926_0,2611.0,2786.0
flow_132_0,2613.0,2701.0
flow_142_0,2616.0,2786.0
flow_1281_0,2636.0,2707.0
flow_1034_0,2649.0,2701.0
flow_2864_0,2654.0,nan
flow_2203_0,2657.0,nan
flow_1518_0,2661.0,2731.0
flow_2216_0,2665.0,2736.0
flow_1519_0,2667.0,nan
flow_838_0,2679.0,2790.0
flow_1520_0,2691.0,nan
flow_1523_0,2694.0,2764.0
flow_138_0,2694.0,2756.0
flow_1741_0,2701.0,2771.0
flow_1250_0,2704.0,nan
flow_1524_0,2711.0,nan
flow_1527_0,2714.0,2806.0
flow_2887_0,2735.0,2787.0
flow_1743_0,2751.0,nan
flow_127_0,2751.0,nan
flow_133_0,2753.0,nan
flow_941_0,2761.0,2846.0
flow_2797_0,2761.0,2836.0
flow_1756_0,2764.0,2816.0
flow_2242_0,2770.0,2936.0
flow_2437_0,2781.0,2834.0
flow_139_0,2781.0,2851.0
flow_955_0,2784.0,2941.0
flow_970_0,2801.0,3336.0
flow_974_0,2803.0,3340.0
flow_1904_0,2813.0,2865.0
flow_1528_0,2821.0,2891.0
flow_1529_0,2823.0,3250.0
flow_1530_0,2825.0,nan
flow_1534_0,2828.0,2899.0
flow_1535_0,2831.0,nan
flow_1538_0,2835.0,2904.0
flow_1540_0,2837.0,2908.0
flow_1542_0,2839.0,2956.0
flow_1543_0,2842.0,2912.0
flow_1969_0,2850.0,2902.0
flow_1252_0,2851.0,2921.0
flow_1254_0,2854.0,nan
flow_1076_0,2865.0,2961.0
flow_161_0,2871.0,nan
flow_1086_0,2884.0,2955.0
flow_1256_0,2901.0,2971.0
flow_431_0,2904.0,2976.0
flow_1262_0,2906.0,2976.0
flow_441_0,2909.0,nan
flow_288_0,2911.0,3337.0
flow_1769_0,2912.0,nan
flow_1263_0,2914.0,nan
flow_1268_0,2917.0,2988.0
flow_1776_0,2921.0,nan
flow_1720_0,2922.0,3516.0
flow_1777_0,2923.0,nan
flow_350_0,2925.0,3521.0
flow_1724_0,2928.0,3523.0
flow_433_0,2935.0,2996.0
flow_2904_0,2961.0,3013.0
flow_1979_0,2971.0,3526.0
flow_2469_0,2974.0,3256.0
flow_1766_0,2995.0,3529.0
flow_158_0,3033.0,3084.0
flow_167_0,3041.0,nan
flow_1046_0,3048.0,3531.0
flow_1758_0,3069.0,3139.0
flow_111_0,3099.0,nan
flow_1270_0,3101.0,nan
flow_1271_0,3104.0,3174.0
flow_1059_0,3105.0,3260.0
flow_1544_0,3141.0,nan
flow_1545_0,3143.0,nan
flow_1277_0,3161.0,3231.0
flow_1959_0,3163.0,3234.0
flow_175_0,3181.0,3251.0
flow_2930_0,3185.0,nan
flow_2937_0,3188.0,3258.0
flow_1109_0,3235.0,nan
flow_1546_0,3241.0,nan
flow_1547_0,3243.0,nan
flow_1548_0,3246.0,nan
flow_1551_0,3248.0,3319.0
flow_2466_0,3251.0,nan
flow_1552_0,3251.0,3321.0
flow_1555_0,3253.0,nan
flow_1282_0,3261.0,3331.0
flow_1289_0,3263.0,3346.0
flow_2324_0,3278.0,3348.0
flow_1290_0,3281.0,3351.0
flow_1295_0,3284.0,nan
flow_1556_0,3291.0,nan
flow_1557_0,3294.0,3364.0
flow_1296_0,3301.0,3371.0
flow_1300_0,3304.0,nan
flow_1560_0,3311.0,3381.0
flow_1561_0,3314.0,nan
flow_2186_0,3316.0,nan
flow_324_0,3321.0,3517.0
flow_1562_0,3331.0,nan
flow_1563_0,3334.0,3404.0
flow_1301_0,3341.0,3411.0
flow_1310_0,3343.0,3414.0
flow_2541_0,3370.0,3507.0
flow_1566_0,3371.0,nan
flow_1567_0,3374.0,3444.0
flow_1118_0,3395.0,3447.0
flow_1568_0,3411.0,3481.0
flow_1570_0,3414.0,nan
flow_1314_0,3421.0,nan
flow_1319_0,3423.0,nan
flow_2419_0,3424.0,nan
flow_2440_0,3427.0,nan
flow_2571_0,3449.0,nan
flow_1572_0,3471.0,nan
flow_1975_0,3471.0,nan
flow_1325_0,3473.0,nan
flow_1574_0,3474.0,3556.0
flow_1327_0,3491.0,3562.0
flow_1329_0,3494.0,nan
flow_1577_0,3511.0,3581.0
flow_1331_0,3511.0,3581.0
flow_1333_0,3514.0,nan
flow_1578_0,3514.0,3584.0
flow_2936_0,3547.0,3599.0
flow_2423_0,3571.0,nan
flow_1163_0,3592.0,nan
flow_2517_0,3595.0,nan
