round,vehicles_total,throughput,avg_travel_time,avg_waiting_time,avg_queue_length,unfinished
0,2897,2711,517.7638936831205,269.5051282051282,,186
1,2667,2353,657.7124109486314,565.3537906137184,18.841145833333336,314
2,2585,2237,655.4812379110251,803.3550295857988,18.606076388888887,348
3,2834,2661,485.3369795342272,171.94230769230768,11.284201388888889,173
4,2736,2414,680.5953947368421,658.050406504065,20.722048611111113,322
5,2806,2454,580.9722024233785,703.067944250871,16.582118055555554,352
6,2983,2819,552.9882668454576,137.6209476309227,14.261284722222221,164
7,2983,2807,490.71873952396913,163.38256658595643,11.661284722222224,176
8,2983,2892,407.063359034529,136.05454545454546,7.657986111111111,91
9,2983,2905,428.0177673483071,69.16205533596838,8.236458333333333,78
