,enter_time,leave_time
flow_207_0,149.0,219.0
flow_208_0,159.0,229.0
flow_209_0,169.0,238.0
flow_1652_0,176.0,245.0
flow_214_0,219.0,536.0
flow_1_0,231.0,300.0
flow_4_0,233.0,303.0
flow_1655_0,271.0,341.0
flow_217_0,273.0,541.0
flow_219_0,293.0,376.0
flow_9_0,311.0,536.0
flow_11_0,314.0,396.0
flow_1658_0,321.0,396.0
flow_225_0,332.0,402.0
flow_13_0,341.0,411.0
flow_227_0,352.0,422.0
flow_229_0,369.0,438.0
flow_230_0,393.0,462.0
flow_1663_0,429.0,498.0
flow_1665_0,450.0,526.0
flow_232_0,463.0,546.0
flow_233_0,466.0,551.0
flow_2763_0,475.0,546.0
flow_2764_0,477.0,547.0
flow_631_0,505.0,596.0
flow_235_0,511.0,580.0
flow_238_0,514.0,584.0
flow_243_0,517.0,587.0
flow_244_0,519.0,590.0
flow_1839_0,521.0,592.0
flow_247_0,526.0,616.0
flow_249_0,531.0,621.0
flow_1671_0,550.0,623.0
flow_253_0,573.0,646.0
flow_254_0,575.0,650.0
flow_2051_0,584.0,655.0
flow_2074_0,601.0,670.0
flow_257_0,604.0,674.0
flow_258_0,621.0,691.0
flow_259_0,624.0,693.0
flow_261_0,626.0,696.0
flow_1442_0,627.0,698.0
flow_263_0,630.0,699.0
flow_265_0,633.0,702.0
flow_268_0,635.0,704.0
flow_2054_0,661.0,713.0
flow_649_0,664.0,736.0
flow_269_0,673.0,746.0
flow_1462_0,675.0,746.0
flow_271_0,691.0,761.0
flow_272_0,694.0,763.0
flow_1231_0,696.0,1236.0
flow_273_0,696.0,766.0
flow_275_0,699.0,769.0
flow_1679_0,701.0,846.0
flow_277_0,704.0,850.0
flow_222_0,708.0,778.0
flow_2062_0,715.0,846.0
flow_280_0,731.0,866.0
flow_281_0,733.0,871.0
flow_2094_0,741.0,793.0
flow_2097_0,744.0,936.0
flow_285_0,751.0,821.0
flow_286_0,763.0,833.0
flow_288_0,768.0,856.0
flow_289_0,771.0,873.0
flow_2096_0,774.0,845.0
flow_2098_0,791.0,843.0
