round,vehicles_total,throughput,avg_travel_time,avg_waiting_time,avg_queue_length,unfinished
0,2983,2756,522.914180355347,307.27194860813705,,227
1,2632,2297,642.0980243161094,661.2954990215264,18.05434027777778,335
2,2577,2145,730.4443150950718,770.4037267080745,22.395833333333336,432
3,2830,2643,510.4452296819788,259.5194174757282,12.391319444444445,187
4,2913,2768,428.9193271541366,141.67731629392972,8.47829861111111,145
5,2706,2489,496.6237989652624,751.5597014925373,12.246527777777777,217
6,2694,2404,550.2279138827023,689.3197278911565,14.507118055555555,290
7,2983,2891,426.00335232986924,81.2911877394636,7.956250000000001,92
8,2983,2782,509.35098893731146,211.13932584269662,12.577777777777778,201
9,2983,2808,444.5755950385518,209.62942779291552,9.190972222222221,175
10,2983,2913,375.82232651692925,68.04897959183674,5.945138888888889,70
11,2983,2901,365.53000335232986,73.13821138211382,5.367881944444445,82
12,2983,2921,358.9389875963795,69.05579399141631,5.176736111111111,62
13,2983,2919,342.959101575595,78.77310924369748,4.495659722222221,64
14,2983,2925,340.69292658397586,90.30522088353413,4.401388888888889,58
15,2983,2921,334.0207844451894,72.91071428571429,3.957986111111111,62
16,2983,2920,332.62923231645993,85.49350649350649,4.016493055555555,63
17,2983,2922,327.48843446195104,61.224215246636774,3.7371527777777778,61
18,2983,2929,328.04425075427423,43.707207207207205,3.6335069444444446,54
19,2983,2927,325.09252430439153,53.337899543378995,3.5460069444444446,56
20,2983,2917,321.24907810928596,53.373333333333335,3.3689236111111107,66
21,2983,2925,320.11967817633257,45.92857142857143,3.2934027777777777,58
22,2983,2921,354.140127388535,50.99557522123894,4.715972222222222,62
23,2983,2916,352.89205497820984,58.140969162995596,4.778125,67
24,2983,2888,426.44921220248074,68.81654676258992,8.067881944444444,95
25,2983,2912,408.4230640295005,54.80497925311203,7.157986111111111,71
26,2983,2799,413.86356017432115,210.87209302325581,7.971180555555556,184
27,2983,2919,319.9078109285954,54.60633484162896,3.2510416666666666,64
28,2983,2923,315.447871270533,49.87155963302752,3.0446180555555555,60
29,2983,2927,317.2587998659068,53.38028169014085,3.158854166666667,56
