round,reward,method
0,-187.60308810172572,Baseline
1,-154.60195154777927,Baseline
2,-199.74741893267412,Baseline
3,-192.69277874061237,Baseline
4,-151.85580982003998,Baseline
5,-109.27036187817765,Baseline
6,-119.70500988793671,Baseline
7,-139.60858377933306,Baseline
8,-131.14991122947183,Baseline
9,-147.06925360008793,Baseline
10,-108.77611640742599,Baseline
11,-134.76194444444445,Baseline
12,-129.7773021622215,Baseline
13,-121.30762351889112,Baseline
14,-118.65826217980914,Baseline
15,-115.7592816787732,Baseline
16,-122.66332333781408,Baseline
17,-110.94694878871512,Baseline
18,-106.37964442668797,Baseline
19,-92.78691774033696,Baseline
20,-95.30292188431723,Baseline
21,-111.43841716425463,Baseline
22,-118.61514511286556,Baseline
23,-118.11169529150602,Baseline
24,-107.22545567522783,Baseline
25,-93.59861179970252,Baseline
26,-116.52801979133054,Baseline
27,-114.88772631083941,Baseline
28,-107.53304657994126,Baseline
29,-106.48829602371461,Baseline
30,-105.01132884262094,Baseline
31,-106.53360572012258,Baseline
32,-107.85834530897147,Baseline
33,-114.45303435966086,Baseline
34,-92.62207522953895,Baseline
35,-91.52176488007107,Baseline
36,-93.7791707798618,Baseline
37,-89.88162178159219,Baseline
38,-90.9752098765432,Baseline
39,-90.15435577968951,Baseline
40,-91.04650933149007,Baseline
0,-123.1793577917577,Enhanced
1,-125.66267337154935,Enhanced
2,-140.883378084669,Enhanced
3,-82.64698367589625,Enhanced
4,-106.19305653403777,Enhanced
5,-76.0820773254468,Enhanced
6,-54.89641661089595,Enhanced
7,-120.01912372500368,Enhanced
8,-81.54564104019407,Enhanced
9,-46.946950376708685,Enhanced
10,-56.34723041750325,Enhanced
11,-81.45348537946685,Enhanced
12,-75.89533564464202,Enhanced
13,-59.48171494834508,Enhanced
14,-59.94451825518999,Enhanced
15,-64.48711085142781,Enhanced
16,-69.53959717776559,Enhanced
17,-58.84468707641403,Enhanced
18,-46.659993654523056,Enhanced
19,-63.272247736901036,Enhanced
20,-68.3697266450877,Enhanced
21,-89.85457722017364,Enhanced
22,-66.47416143828669,Enhanced
23,-58.92618701274449,Enhanced
24,-52.66731127696808,Enhanced
25,-46.37890366992135,Enhanced
26,-69.00774734032676,Enhanced
27,-47.36779286897311,Enhanced
28,-50.185471106807555,Enhanced
29,-80.749808972874,Enhanced
30,-44.686559592625585,Enhanced
31,-44.957815468170246,Enhanced
32,-42.60954856460593,Enhanced
33,-44.41995122186216,Enhanced
34,-51.183484182359706,Enhanced
35,-85.15227165169426,Enhanced
36,-73.81913190170333,Enhanced
37,-46.87713429043929,Enhanced
38,-60.249248872722966,Enhanced
39,-50.6952362553243,Enhanced
40,-78.81202007961619,Enhanced
41,-61.17664420529894,Enhanced
42,-59.165139594658754,Enhanced
43,-46.285741737664644,Enhanced
44,-48.045717108360996,Enhanced
45,-50.061345667496326,Enhanced
46,-48.59515817531768,Enhanced
47,-51.02180339319008,Enhanced
48,-69.18446457383271,Enhanced
49,-48.11306080510809,Enhanced
